PERMNO,date,TICKER,PRC,SHROUT
90805,20150630,DISCA,33.26,149200
90805,20150731,DISCA,33.02,149302
90805,20150831,DISCA,26.6,149302
90805,20150930,DISCA,26.03,149200
90805,20151030,DISCA,29.44,149506
90805,20151130,DISCA,31.14,149506
90805,20151231,DISCA,26.68,150000
90805,20160129,DISCA,27.59,150000
90805,20160229,DISCA,25,150092
90805,20160331,DISCA,28.63,150000
90805,20160429,DISCA,27.31,150481
90805,20160531,DISCA,27.85,150481
90805,20160630,DISCA,25.23,150000
90805,20160729,DISCA,25.09,150891
90805,20160831,DISCA,25.51,150891
90805,20160930,DISCA,26.92,152000
90805,20161031,DISCA,26.11,151944
90805,20161130,DISCA,27.09,151944
90805,20161230,DISCA,27.41,152000
90805,20170131,DISCA,28.35,152000
90805,20170228,DISCA,28.76,152634
90805,20170331,DISCA,29.09,153000
90805,20170428,DISCA,28.78,153000
90805,20170531,DISCA,26.5,153771
90805,20170630,DISCA,25.83,154000
90805,20170731,DISCA,24.6,153933
90805,20170831,DISCA,22.21,153933
90805,20170929,DISCA,21.29,154000
90805,20171031,DISCA,18.88,154003
90805,20171130,DISCA,19.02,154003
90805,20171229,DISCA,22.38,154000
90805,20180131,DISCA,25.07,154000
90805,20180228,DISCA,24.32,155613
90805,20180329,DISCA,21.43,156000
90805,20180430,DISCA,23.65,156000
90805,20180531,DISCA,21.09,156055
90805,20180629,DISCA,27.5,156000
90805,20180731,DISCA,26.58,156245
90805,20180831,DISCA,27.83,156245
90805,20180928,DISCA,32,156000
90805,20181031,DISCA,32.39,156743
90805,20181130,DISCA,30.72,156743
90805,20181231,DISCA,24.74,157000
90805,20190131,DISCA,28.38,157000
90805,20190228,DISCA,28.9,157023
90805,20190329,DISCA,27.02,158000
90805,20190430,DISCA,30.9,157849
90805,20190531,DISCA,27.26,157849
90805,20190628,DISCA,30.7,158000
90805,20190731,DISCA,30.31,158037
90805,20190830,DISCA,27.6,158037
90805,20190930,DISCA,26.63,158000
90805,20191031,DISCA,26.955,158140
90805,20191129,DISCA,32.94,158140
90805,20191231,DISCA,32.74,158000
90805,20200131,DISCA,29.26,158000
90805,20200228,DISCA,25.7,158566
90805,20200331,DISCA,19.44,160000
90805,20200430,DISCA,22.42,160020
90805,20200529,DISCA,21.75,160020
90805,20200630,DISCA,21.1,160000
90805,20200731,DISCA,21.1,160206
90805,20200831,DISCA,22.065,160206
90805,20200930,DISCA,21.77,160000
90805,20201030,DISCA,20.24,160318
90805,20201130,DISCA,26.91,160318
90805,20201231,DISCA,30.09,160318
90808,20100129,EXPE,21.41,264050
90808,20100226,EXPE,22.24,264050
90808,20100331,EXPE,24.95,258270
90808,20100430,EXPE,23.61,258440
90808,20100528,EXPE,21.56,258440
90808,20100630,EXPE,18.78,258777
90808,20100730,EXPE,22.68,258894
90808,20100831,EXPE,22.86,258894
90808,20100930,EXPE,28.23,251335
90808,20101029,EXPE,28.95,251458
90808,20101130,EXPE,26.33,251458
90808,20101231,EXPE,25.09,248347
90808,20110131,EXPE,25.16,248461
90808,20110228,EXPE,19.86,248461
90808,20110331,EXPE,22.66,247565
90808,20110429,EXPE,25.02,247777
90808,20110531,EXPE,28.01,247777
90808,20110630,EXPE,28.99,248490
90808,20110729,EXPE,31.69,248656
90808,20110831,EXPE,30.31,248656
90808,20110930,EXPE,25.75,243464
90808,20111031,EXPE,26.26,241426
90808,20111130,EXPE,27.815,241426
90808,20111230,EXPE,29.02,120781
90808,20120131,EXPE,32.37,120846
90808,20120229,EXPE,34.05,120846
90808,20120330,EXPE,33.44,117240
90808,20120430,EXPE,42.65,114285
90808,20120531,EXPE,45.89,114285
90808,20120629,EXPE,48.07,122943
90808,20120731,EXPE,56.99,122941
90808,20120831,EXPE,51.36,122941
90808,20120928,EXPE,57.84,122581
90808,20121031,EXPE,59.1467,122068
90808,20121130,EXPE,61.86,122068
90808,20121231,EXPE,61.44,122530
90808,20130131,EXPE,65.25,122588
90808,20130228,EXPE,63.9,122588
90808,20130328,EXPE,60.015,122547
90808,20130430,EXPE,55.84,122342
90808,20130531,EXPE,57.51,122342
90808,20130628,EXPE,60.15,123137
90808,20130731,EXPE,47.13,123193
90808,20130830,EXPE,46.76,123193
90808,20130930,EXPE,51.81,119162
90808,20131031,EXPE,58.965,117553
90808,20131129,EXPE,63.69,117553
90808,20131231,EXPE,69.66,116886
90808,20140131,EXPE,64.98,116658
90808,20140228,EXPE,78.53,116658
90808,20140331,EXPE,72.5,116974
90808,20140430,EXPE,70.99,117036
90808,20140530,EXPE,73.3,117036
90808,20140630,EXPE,78.76,114495
90808,20140731,EXPE,79.42,114388
90808,20140829,EXPE,85.9,114388
90808,20140930,EXPE,87.62,113729
90808,20141031,EXPE,84.97,113748
90808,20141128,EXPE,87.11,113748
90808,20141231,EXPE,85.36,114267
90808,20150130,EXPE,85.93,113920
90808,20150227,EXPE,91.75,113920
90808,20150331,EXPE,94.13,114675
90808,20150430,EXPE,94.23,114762
90808,20150529,EXPE,107.26,114762
90808,20150630,EXPE,109.35,116318
90808,20150731,EXPE,121.44,116334
90808,20150831,EXPE,114.99,116334
90808,20150930,EXPE,117.68,117011
90808,20151030,EXPE,136.3,117039
90808,20151130,EXPE,123.11,117166
90808,20151231,EXPE,124.3,135985
90808,20160129,EXPE,101.04,137780
90808,20160229,EXPE,104.11,137780
90808,20160331,EXPE,107.82,136979
90808,20160429,EXPE,115.77,135985
90808,20160531,EXPE,111.24,135985
90808,20160630,EXPE,106.3,136793
90808,20160729,EXPE,116.65,136916
90808,20160831,EXPE,109.12,137085
90808,20160930,EXPE,116.72,137155
90808,20161031,EXPE,129.23,137230
90808,20161130,EXPE,124.05,137230
90808,20161230,EXPE,113.28,137232
90808,20170131,EXPE,121.59,137008
90808,20170228,EXPE,119.04,137008
90808,20170331,EXPE,126.17,138165
90808,20170428,EXPE,133.72,138147
90808,20170531,EXPE,143.78,138147
90808,20170630,EXPE,148.95,138949
90808,20170731,EXPE,156.47,138837
90808,20170831,EXPE,148.36,138837
90808,20170929,EXPE,143.94,139452
90808,20171031,EXPE,124.66,139695
90808,20171130,EXPE,122.5,139695
90808,20171229,EXPE,119.77,138939
90808,20180131,EXPE,128.00999,139033
90808,20180228,EXPE,105.17,139033
90808,20180329,EXPE,110.41,138009
90808,20180430,EXPE,115.14,137348
90808,20180531,EXPE,121.03,137348
90808,20180629,EXPE,120.19,136779
90808,20180731,EXPE,133.84,136651
90808,20180831,EXPE,130.5,136651
90808,20180928,EXPE,130.48,136420
90808,20181031,EXPE,125.43,136174
90808,20181130,EXPE,120.79,136174
90808,20181231,EXPE,112.65,136008
90808,20190131,EXPE,119.25,134390
90808,20190228,EXPE,123.31,134390
90808,20190329,EXPE,119,135938
90808,20190430,EXPE,129.84,136008
90808,20190531,EXPE,115,136008
90808,20190628,EXPE,133.03,136718
90808,20190731,EXPE,132.74001,136833
90808,20190830,EXPE,130.10001,136833
90808,20190930,EXPE,134.41,139967
90808,20191031,EXPE,136.66,139363
90808,20191129,EXPE,101.66,139363
90808,20191231,EXPE,108.14,134466
90808,20200131,EXPE,108.45,134466
90808,20200228,EXPE,98.62,134466
90808,20200331,EXPE,56.27,135454
90808,20200430,EXPE,70.98,134466
90808,20200529,EXPE,79.48,135459
90808,20200630,EXPE,82.2,135691
90808,20200731,EXPE,81.01,135703
90808,20200831,EXPE,98.15,135703
90808,20200930,EXPE,91.69,135906
90808,20201030,EXPE,94.15,135938
90808,20201130,EXPE,124.49,135938
90808,20201231,EXPE,132.39999,135938
90829,20100129,CF,92.86,48559
90829,20100226,CF,106.24,48578
90829,20100331,CF,91.18,48581
90829,20100430,CF,83.67,71052
90829,20100528,CF,68.59,71052
90829,20100630,CF,63.45,71052
90829,20100730,CF,81.19,71052
90829,20100831,CF,92.5,71081
90829,20100930,CF,95.5,71081
90829,20101029,CF,122.53,71081
90829,20101130,CF,120.77,71129
90829,20101231,CF,135.14999,71129
90829,20110131,CF,135.03999,71129
90829,20110228,CF,141.28,71298
90829,20110331,CF,136.78999,71298
90829,20110429,CF,141.55,71413
90829,20110531,CF,153.78,71483
90829,20110630,CF,141.67,71483
90829,20110729,CF,155.32001,71483
90829,20110831,CF,182.75,71753
90829,20110930,CF,123.39,71753
90829,20111031,CF,162.27,71753
90829,20111130,CF,139.8,65388
90829,20111230,CF,144.98,65388
90829,20120131,CF,177.38,65388
90829,20120229,CF,186,65476
90829,20120330,CF,182.64999,65476
90829,20120430,CF,193.06,65585
90829,20120531,CF,170.96001,65638
90829,20120629,CF,193.74001,65638
90829,20120731,CF,195.75999,65638
90829,20120831,CF,207.00999,62697
90829,20120928,CF,222.24001,62697
90829,20121031,CF,205.19,62697
90829,20121130,CF,214.03,62871
90829,20121231,CF,203.16,62871
90829,20130131,CF,229.17,62871
90829,20130228,CF,200.83,63004
90829,20130328,CF,190.37,63004
90829,20130430,CF,186.50999,60613
90829,20130531,CF,190.96001,59288
90829,20130628,CF,171.5,59288
90829,20130731,CF,196.00999,59288
90829,20130830,CF,190.34,57283
90829,20130930,CF,210.83,57283
90829,20131031,CF,215.60001,57283
90829,20131129,CF,217.38,57313
90829,20131231,CF,233.03999,57313
90829,20140131,CF,230.86,57313
90829,20140228,CF,250.89999,55466
90829,20140331,CF,260.64001,55466
90829,20140430,CF,245.17,53425
90829,20140530,CF,243.31,52073
90829,20140630,CF,240.53,52073
90829,20140731,CF,250.34,52073
90829,20140829,CF,257.67001,49671
90829,20140930,CF,279.22,49671
90829,20141031,CF,260,49671
90829,20141128,CF,268.14999,49735
90829,20141231,CF,272.54001,49735
90829,20150130,CF,305.38,49735
90829,20150227,CF,306.23001,47908
90829,20150331,CF,283.67999,47908
90829,20150430,CF,287.47,47902
90829,20150529,CF,315.88,47069
90829,20150630,CF,64.28,235345
90829,20150731,CF,59.2,235345
90829,20150831,CF,57.38,233048
90829,20150930,CF,44.9,233048
90829,20151030,CF,50.77,233048
90829,20151130,CF,46.14,233075
90829,20151231,CF,40.81,233075
90829,20160129,CF,30,233075
90829,20160229,CF,36.46,233083
90829,20160331,CF,31.34,233083
90829,20160429,CF,33.07,233083
90829,20160531,CF,27.66,233094
90829,20160630,CF,24.1,233094
90829,20160729,CF,24.68,233094
90829,20160831,CF,26,233130
90829,20160930,CF,24.35,233130
90829,20161031,CF,24.01,233130
90829,20161130,CF,28.94,233114
90829,20161230,CF,31.48,233114
90829,20170131,CF,35.29,233114
90829,20170228,CF,31.42,233115
90829,20170331,CF,29.35,233115
90829,20170428,CF,26.74,233185
90829,20170531,CF,26.9,233185
90829,20170630,CF,27.96,233185
90829,20170731,CF,29.35,233247
90829,20170831,CF,28.99,233247
90829,20170929,CF,35.16,233247
90829,20171031,CF,37.98,233247
90829,20171130,CF,37.47,233260
90829,20171229,CF,42.54,233260
90829,20180131,CF,42.44,233260
90829,20180228,CF,41.24,233292
90829,20180329,CF,37.73,233292
90829,20180430,CF,38.8,233359
90829,20180531,CF,41.14,233360
90829,20180629,CF,44.4,233360
90829,20180731,CF,44.42,233360
90829,20180831,CF,51.95,233469
90829,20180928,CF,54.44,233469
90829,20181031,CF,48.03,233469
90829,20181130,CF,42.19,230791
90829,20181231,CF,43.51,230791
90829,20190131,CF,43.65,230791
90829,20190228,CF,42.2,222891
90829,20190329,CF,40.88,222397
90829,20190430,CF,44.78,222397
90829,20190531,CF,40.24,221078
90829,20190628,CF,46.71,221078
90829,20190731,CF,49.56,221078
90829,20190830,CF,48.19,218326
90829,20190930,CF,49.2,218326
90829,20191031,CF,45.35,217432
90829,20191129,CF,46.21,217432
90829,20191231,CF,47.74,217432
90829,20200131,CF,40.28,217432
90829,20200228,CF,36.86,216171
90829,20200331,CF,27.2,216171
90829,20200430,CF,27.5,213797
90829,20200529,CF,29.37,213797
90829,20200630,CF,28.14,213797
90829,20200731,CF,31.33,213797
90829,20200831,CF,32.63,213880
90829,20200930,CF,30.71,213880
90829,20201030,CF,27.61,213880
90829,20201130,CF,37.3,213916
90829,20201231,CF,38.71,213916
90880,20100129,AMP,38.24,255004
90880,20100226,AMP,40.03,255503
90880,20100331,AMP,45.36,255757
90880,20100430,AMP,46.36,262400
90880,20100528,AMP,39.79,257513
90880,20100630,AMP,36.13,257513
90880,20100730,AMP,42.39,257513
90880,20100831,AMP,43.58,251049
90880,20100930,AMP,47.33,251049
90880,20101029,AMP,51.69,251049
90880,20101130,AMP,51.84,247962
90880,20101231,AMP,57.55,247962
90880,20110131,AMP,61.65,247962
90880,20110228,AMP,63.32,246509
90880,20110331,AMP,61.08,246319
90880,20110429,AMP,62.06,248300
90880,20110531,AMP,61.23,242285
90880,20110630,AMP,57.68,242285
90880,20110729,AMP,54.1,242285
90880,20110831,AMP,45.7,236079
90880,20110930,AMP,39.36,236079
90880,20111031,AMP,46.68,236079
90880,20111130,AMP,45.91,226255
90880,20111230,AMP,49.64,226255
90880,20120131,AMP,53.55,226255
90880,20120229,AMP,55.76,221899
90880,20120330,AMP,57.13,221738
90880,20120430,AMP,54.21,221738
90880,20120531,AMP,47.92,218623
90880,20120629,AMP,52.26,218623
90880,20120731,AMP,51.72,212700
90880,20120831,AMP,54.91,210729
90880,20120928,AMP,56.69,210729
90880,20121031,AMP,58.37,207400
90880,20121130,AMP,60.67,205816
90880,20121231,AMP,62.63,205816
90880,20130131,AMP,66.32,203900
90880,20130228,AMP,68.63,203472
90880,20130328,AMP,73.65,202706
90880,20130430,AMP,74.53,202500
90880,20130531,AMP,81.52,201529
90880,20130628,AMP,80.88,201529
90880,20130731,AMP,89,197850
90880,20130830,AMP,86.15,197850
90880,20130930,AMP,91.08,197850
90880,20131031,AMP,100.54,199700
90880,20131129,AMP,108.25,194541
90880,20131231,AMP,115.05,194541
90880,20140131,AMP,105.64,194541
90880,20140228,AMP,108.99,190873
90880,20140331,AMP,110.07,190595
90880,20140430,AMP,111.63,190595
90880,20140530,AMP,112.61,189880
90880,20140630,AMP,120,189880
90880,20140731,AMP,119.6,189880
90880,20140829,AMP,125.76,187201
90880,20140930,AMP,123.38,187201
90880,20141031,AMP,126.17,185400
90880,20141128,AMP,131.77,184532
90880,20141231,AMP,132.25,184532
90880,20150130,AMP,124.94,184532
90880,20150227,AMP,133.63,182511
90880,20150331,AMP,130.84,182312
90880,20150430,AMP,125.28,182312
90880,20150529,AMP,124.59,181380
90880,20150630,AMP,124.93,181380
90880,20150731,AMP,125.67,178700
90880,20150831,AMP,112.67,178221
90880,20150930,AMP,109.13,178221
90880,20151030,AMP,115.36,175000
90880,20151130,AMP,112.95,174112
90880,20151231,AMP,106.42,174112
90880,20160129,AMP,90.65,174112
90880,20160229,AMP,83.95,168971
90880,20160331,AMP,94.01,168312
90880,20160429,AMP,95.9,181800
90880,20160531,AMP,101.67,165813
90880,20160630,AMP,89.85,165813
90880,20160729,AMP,95.84,165813
90880,20160831,AMP,101.08,161421
90880,20160930,AMP,99.77,161421
90880,20161031,AMP,88.39,161421
90880,20161130,AMP,114.21,158048
90880,20161230,AMP,110.94,158048
90880,20170131,AMP,112.27,158048
90880,20170228,AMP,131.5,154056
90880,20170331,AMP,129.67999,153864
90880,20170428,AMP,127.85,153000
90880,20170531,AMP,120.79,152454
90880,20170630,AMP,127.29,152454
90880,20170731,AMP,144.88,149943
90880,20170831,AMP,138.50999,149943
90880,20170929,AMP,148.50999,149943
90880,20171031,AMP,156.53999,148300
90880,20171130,AMP,163.23,147930
90880,20171229,AMP,169.47,147930
90880,20180131,AMP,168.7,147930
90880,20180228,AMP,156.44,146332
90880,20180329,AMP,147.94,146093
90880,20180430,AMP,140.21001,145000
90880,20180531,AMP,138.63,144613
90880,20180629,AMP,139.88,144613
90880,20180731,AMP,145.67,144613
90880,20180831,AMP,141.96001,141864
90880,20180928,AMP,147.66,141864
90880,20181031,AMP,127.24,141864
90880,20181130,AMP,129.75,139356
90880,20181231,AMP,104.37,139356
90880,20190131,AMP,126.6,139600
90880,20190228,AMP,131.63,135496
90880,20190329,AMP,128.10001,135403
90880,20190430,AMP,146.77,135403
90880,20190531,AMP,138.23,133904
90880,20190628,AMP,145.16,133904
90880,20190731,AMP,145.50999,133904
90880,20190830,AMP,128.98,130870
90880,20190930,AMP,147.10001,130870
90880,20191031,AMP,150.89,130600
90880,20191129,AMP,163.87,126696
90880,20191231,AMP,166.58,126696
90880,20200131,AMP,165.41,126696
90880,20200228,AMP,141.3,123244
90880,20200331,AMP,102.48,122969
90880,20200430,AMP,114.94,122969
90880,20200529,AMP,140.07001,122337
90880,20200630,AMP,150.03999,122337
90880,20200731,AMP,153.63,122337
90880,20200831,AMP,156.8,120269
90880,20200930,AMP,154.11,120269
90880,20201030,AMP,160.83,120269
90880,20201130,AMP,185.24001,117978
90880,20201231,AMP,194.33,117978
90979,20100129,UA,25.4,37668
90979,20100226,UA,26.06,37801
90979,20100331,UA,29.41,37857
90979,20100430,UA,33.75,37857
90979,20100528,UA,33.69,38194
90979,20100630,UA,33.13,38194
90979,20100730,UA,37.56,38194
90979,20100831,UA,35.87,38404
90979,20100930,UA,45.04,38404
90979,20101029,UA,46.68,38404
90979,20101130,UA,57.73,38497
90979,20101231,UA,54.84,38497
90979,20110131,UA,59.86,38497
90979,20110228,UA,66.23,38673
90979,20110331,UA,68.05,39433
90979,20110429,UA,68.46,39433
90979,20110531,UA,65.18,39572
90979,20110630,UA,77.31,39572
90979,20110729,UA,73.41,39572
90979,20110831,UA,70.86,39733
90979,20110930,UA,66.41,39733
90979,20111031,UA,84.41,39733
90979,20111130,UA,81.33,40257
90979,20111230,UA,71.79,40257
90979,20120131,UA,79.62,40257
90979,20120229,UA,89.24,40516
90979,20120330,UA,94,40930
90979,20120430,UA,97.93,40930
90979,20120531,UA,100.73,41033
90979,20120629,UA,94.48,41033
90979,20120731,UA,54.44,82066
90979,20120831,UA,58.21,82663
90979,20120928,UA,55.83,82663
90979,20121031,UA,52.26,82663
90979,20121130,UA,51.83,83153
90979,20121231,UA,48.53,83153
90979,20130131,UA,50.87,83153
90979,20130228,UA,49.28,83470
90979,20130328,UA,51.2,84074
90979,20130430,UA,57.08,84074
90979,20130531,UA,62,84093
90979,20130628,UA,59.71,84093
90979,20130731,UA,67.13,84093
90979,20130830,UA,72.64,85056
90979,20130930,UA,79.45,85056
90979,20131031,UA,81.15,85056
90979,20131129,UA,80.7,85633
90979,20131231,UA,87.3,85633
90979,20140131,UA,108.11,85633
90979,20140228,UA,113.15,85829
90979,20140331,UA,114.64,86793
90979,20140430,UA,48.89,173586
90979,20140530,UA,50.79,173959
90979,20140630,UA,59.49,173959
90979,20140731,UA,66.75,173959
90979,20140829,UA,68.36,174528
90979,20140930,UA,69.1,174528
90979,20141031,UA,65.58,174528
90979,20141128,UA,72.49,176022
90979,20141231,UA,67.9,176022
90979,20150130,UA,72.08,176022
90979,20150227,UA,77.01,177313
90979,20150331,UA,80.75,179314
90979,20150430,UA,77.55,179314
90979,20150529,UA,78.41,179387
90979,20150630,UA,83.44,179935
90979,20150731,UA,99.33,179962
90979,20150831,UA,95.53,179962
90979,20150930,UA,96.78,179962
90979,20151030,UA,95.08,179962
90979,20151130,UA,86.22,180116
90979,20151231,UA,80.61,180116
90979,20160129,UA,85.43,180116
90979,20160229,UA,83.69,181646
90979,20160331,UA,84.83,183001
90979,20160429,UA,43.94,183141
90979,20160531,UA,37.73,183141
90979,20160630,UA,40.13,183141
90979,20160729,UA,39.46,183141
90979,20160831,UA,39.63,183389
90979,20160930,UA,38.68,183389
90979,20161031,UA,31.1,183389
90979,20161130,UA,30.8,183739
90979,20161230,UAA,29.05,183739
90979,20170131,UAA,21.49,183739
90979,20170228,UAA,20.62,183838
90979,20170331,UAA,19.78,183838
90979,20170428,UAA,21.49,184667
90979,20170531,UAA,19.16,184671
90979,20170630,UAA,21.76,184671
90979,20170731,UAA,20.02,184671
90979,20170831,UAA,16.15,184950
90979,20170929,UAA,16.48,184950
90979,20171031,UAA,12.52,184950
90979,20171130,UAA,13.29,185131
90979,20171229,UAA,14.43,185131
90979,20180131,UAA,13.86,185131
90979,20180228,UAA,16.58,185280
90979,20180329,UAA,16.35,185280
90979,20180430,UAA,17.76,185280
90979,20180531,UAA,20.9,185977
90979,20180629,UAA,22.48,185977
90979,20180731,UAA,19.97,185977
90979,20180831,UAA,20.45,186066
90979,20180928,UAA,21.22,186066
90979,20181031,UAA,22.11,186066
90979,20181130,UAA,23.88,187616
90979,20181231,UAA,17.67,187616
90979,20190131,UAA,20.74,187616
90979,20190228,UAA,22.55,187789
90979,20190329,UAA,21.14,187902
90979,20190430,UAA,23.09,187902
90979,20190531,UAA,22.8,188015
90979,20190628,UAA,25.35,188015
90979,20190731,UAA,23.07,188015
90979,20190830,UAA,18.61,188144
90979,20190930,UAA,19.94,188144
90979,20191031,UAA,20.65,188144
90979,20191129,UAA,18.89,188202
90979,20191231,UAA,21.6,188202
90979,20200131,UAA,20.18,188202
90979,20200228,UAA,14.19,188306
90979,20200331,UAA,9.21,188306
90979,20200430,UAA,10.42,188401
90979,20200529,UAA,8.75,188452
90979,20200630,UAA,9.74,188452
90979,20200731,UAA,10.52,188452
90979,20200831,UAA,9.81,188532
90979,20200930,UAA,11.23,188532
90979,20201030,UAA,13.84,188532
90979,20201130,UAA,16.57,188534
90979,20201231,UAA,17.17,188534
90993,20100129,ICE,95.48,73257
90993,20100226,ICE,107.29,73607
90993,20100331,ICE,112.18,73607
90993,20100430,ICE,116.63,73840
90993,20100528,ICE,116.13,73944
90993,20100630,ICE,113.03,73944
90993,20100730,ICE,105.62,73944
90993,20100831,ICE,95.56,74044
90993,20100930,ICE,104.72,74044
90993,20101029,ICE,114.87,74044
90993,20101130,ICE,112.7,73151
90993,20101231,ICE,119.15,73151
90993,20110131,ICE,120.49,73151
90993,20110228,ICE,128.2,73385
90993,20110331,ICE,123.54,73385
90993,20110429,ICE,120.35,73509
90993,20110531,ICE,120.65,73523
90993,20110630,ICE,124.71,73523
90993,20110729,ICE,123.3,73523
90993,20110831,ICE,117.95,73464
90993,20110930,ICE,118.26,73464
90993,20111031,ICE,129.88,73464
